case,grid,porosity,relative_density,E_rel_z,E_rel_x,K_sc_z,D_eff_z,specific_surface_per_mm,pore_size_um,strut_thickness_um,family,topology,mode,n_cells,target_porosity,n_struts,n_layers,strut_d,stagger
TPMS|diamond|sheet|c1|P0.60,24,0.5926,0.4074,0.203162,0.203162,5.541,0.240067,5.4167,527.0,235.7,TPMS,diamond,sheet,1.0,0.6,,,,
TPMS|diamond|sheet|c1|P0.60,32,0.5996,0.4004,0.195632,0.195632,5.881,0.269642,5.3672,515.4,250.0,TPMS,diamond,sheet,1.0,0.6,,,,
TPMS|diamond|sheet|c1|P0.60,44,0.602,0.398,0.196028,0.196028,5.928,0.291322,5.3926,522.2,222.7,TPMS,diamond,sheet,1.0,0.6,,,,
TPMS|diamond|sheet|c1|P0.75,16,0.7656,0.2344,0.088838,0.088838,10.534,0.325672,5.7188,612.4,250.0,TPMS,diamond,sheet,1.0,0.75,,,,
TPMS|diamond|sheet|c1|P0.75,20,0.754,0.246,0.099336,0.099336,11.082,0.353767,5.58,663.3,200.0,TPMS,diamond,sheet,1.0,0.75,,,,
TPMS|diamond|sheet|c1|P0.75,24,0.75,0.25,0.113167,0.113167,9.685,0.360101,5.4583,623.6,166.7,TPMS,diamond,sheet,1.0,0.75,,,,
TPMS|diamond|sheet|c1|P0.75,32,0.752,0.248,0.099246,0.099246,10.981,0.379355,5.7656,572.8,176.8,TPMS,diamond,sheet,1.0,0.75,,,,
TPMS|diamond|sheet|c1|P0.75,44,0.7519,0.2481,0.105652,0.105652,10.516,0.403433,5.6777,582.1,181.8,TPMS,diamond,sheet,1.0,0.75,,,,
TPMS|diamond|sheet|c2|P0.40,16,0.625,0.375,0.208336,0.208336,3.743,0.130624,11.625,353.6,250.0,TPMS,diamond,sheet,2.0,0.4,,,,
TPMS|diamond|sheet|c2|P0.40,20,0.232,0.768,0.647322,0.647322,1.794,0.0,7.44,282.8,346.4,TPMS,diamond,sheet,2.0,0.4,,,,
TPMS|diamond|sheet|c2|P0.40,24,0.4167,0.5833,0.394425,0.394425,2.846,0.072628,10.8333,235.7,235.7,TPMS,diamond,sheet,2.0,0.4,,,,
TPMS|diamond|sheet|c2|P0.40,32,0.4219,0.5781,0.346601,0.346601,3.305,0.102837,10.0312,279.5,176.8,TPMS,diamond,sheet,2.0,0.4,,,,
TPMS|diamond|sheet|c2|P0.40,44,0.3944,0.6056,0.373756,0.373756,3.334,0.147034,9.1983,222.7,203.3,TPMS,diamond,sheet,2.0,0.4,,,,
TPMS|diamond|sheet|c2|P0.60,16,0.625,0.375,0.208336,0.208336,3.743,0.130624,11.625,353.6,250.0,TPMS,diamond,sheet,2.0,0.6,,,,
TPMS|diamond|sheet|c2|P0.60,20,0.616,0.384,0.189697,0.189697,6.007,0.205656,10.68,282.8,200.0,TPMS,diamond,sheet,2.0,0.6,,,,
TPMS|diamond|sheet|c2|P0.60,24,0.4167,0.5833,0.394425,0.394425,2.846,0.072628,10.8333,235.7,235.7,TPMS,diamond,sheet,2.0,0.6,,,,
TPMS|diamond|sheet|c2|P0.60,32,0.5312,0.4688,0.248065,0.248065,4.703,0.204199,10.2188,279.5,176.8,TPMS,diamond,sheet,2.0,0.6,,,,
TPMS|diamond|sheet|c2|P0.60,44,0.6018,0.3982,0.187089,0.187089,6.096,0.272562,10.9835,272.7,128.6,TPMS,diamond,sheet,2.0,0.6,,,,
TPMS|diamond|sheet|c2|P0.75,16,0.625,0.375,0.208336,0.208336,3.743,0.130624,11.625,353.6,250.0,TPMS,diamond,sheet,2.0,0.75,,,,
TPMS|diamond|sheet|c2|P0.75,20,0.808,0.192,0.0,0.0,1165.701,0.550544,7.56,346.4,200.0,TPMS,diamond,sheet,2.0,0.75,,,,
TPMS|diamond|sheet|c2|P0.75,24,0.75,0.25,0.109671,0.109671,10.19,0.326763,11.1667,372.7,166.7,TPMS,diamond,sheet,2.0,0.75,,,,
TPMS|diamond|sheet|c2|P0.75,32,0.7656,0.2344,0.089604,0.089604,10.255,0.347331,11.7188,306.2,125.0,TPMS,diamond,sheet,2.0,0.75,,,,
TPMS|diamond|sheet|c2|P0.75,44,0.7521,0.2479,0.10735,0.10735,9.984,0.376029,11.5785,301.5,90.9,TPMS,diamond,sheet,2.0,0.75,,,,
TPMS|fischerKochS|network|c1|P0.40,16,0.418,0.582,0.30309,0.30309,3.863,0.19458,3.8203,500.0,559.0,TPMS,fischerKochS,network,1.0,0.4,,,,
TPMS|fischerKochS|network|c1|P0.40,20,0.406,0.594,0.312467,0.312467,3.712,0.176651,4.02,447.2,565.7,TPMS,fischerKochS,network,1.0,0.4,,,,
TPMS|fischerKochS|network|c1|P0.40,24,0.3993,0.6007,0.310524,0.310524,3.699,0.195299,3.9479,471.4,527.0,TPMS,fischerKochS,network,1.0,0.4,,,,
TPMS|fischerKochS|network|c1|P0.40,32,0.4019,0.5981,0.304929,0.304929,3.685,0.20674,4.084,395.3,515.4,TPMS,fischerKochS,network,1.0,0.4,,,,
TPMS|fischerKochS|network|c1|P0.40,44,0.3999,0.6001,0.307713,0.307713,3.743,0.214333,4.0444,396.3,514.3,TPMS,fischerKochS,network,1.0,0.4,,,,
TPMS|fischerKochS|network|c1|P0.60,16,0.582,0.418,0.147694,0.147694,6.981,0.346189,3.8203,559.0,500.0,TPMS,fischerKochS,network,1.0,0.6,,,,
TPMS|fischerKochS|network|c1|P0.60,20,0.594,0.406,0.125371,0.125371,7.922,0.37034,4.02,565.7,447.2,TPMS,fischerKochS,network,1.0,0.6,,,,
TPMS|fischerKochS|network|c1|P0.60,24,0.6007,0.3993,0.130846,0.130846,7.442,0.382758,3.9479,527.0,471.4,TPMS,fischerKochS,network,1.0,0.6,,,,
TPMS|fischerKochS|network|c1|P0.60,32,0.5981,0.4019,0.129361,0.129361,7.75,0.388031,4.084,515.4,395.3,TPMS,fischerKochS,network,1.0,0.6,,,,
TPMS|fischerKochS|network|c1|P0.60,44,0.6001,0.3999,0.130763,0.130763,7.697,0.401324,4.0444,514.3,396.3,TPMS,fischerKochS,network,1.0,0.6,,,,
TPMS|fischerKochS|network|c1|P0.75,16,0.7422,0.2578,0.054097,0.054097,15.022,0.528079,3.4688,612.4,353.6,TPMS,fischerKochS,network,1.0,0.75,,,,
TPMS|fischerKochS|network|c1|P0.75,20,0.728,0.272,0.055991,0.055991,14.625,0.529158,3.645,600.0,400.0,TPMS,fischerKochS,network,1.0,0.75,,,,
TPMS|fischerKochS|network|c1|P0.75,24,0.7454,0.2546,0.047672,0.047672,16.978,0.553988,3.6562,623.6,372.7,TPMS,fischerKochS,network,1.0,0.75,,,,
TPMS|fischerKochS|network|c1|P0.75,32,0.7515,0.2485,0.045882,0.045882,17.948,0.57925,3.5508,612.4,353.6,TPMS,fischerKochS,network,1.0,0.75,,,,
TPMS|fischerKochS|network|c1|P0.75,44,0.7492,0.2508,0.045672,0.045672,18.158,0.590325,3.5114,596.1,328.4,TPMS,fischerKochS,network,1.0,0.75,,,,
TPMS|fischerKochS|network|c2|P0.40,16,0.3125,0.6875,0.526798,0.526798,2.301,0.052213,7.125,250.0,353.6,TPMS,fischerKochS,network,2.0,0.4,,,,
TPMS|fischerKochS|network|c2|P0.40,20,0.4,0.6,0.323682,0.323682,3.476,0.163477,7.74,282.8,282.8,TPMS,fischerKochS,network,2.0,0.4,,,,
TPMS|fischerKochS|network|c2|P0.40,24,0.3981,0.6019,0.31168,0.31168,3.475,0.167062,7.875,235.7,288.7,TPMS,fischerKochS,network,2.0,0.4,,,,
TPMS|fischerKochS|network|c2|P0.40,32,0.418,0.582,0.298691,0.298691,3.908,0.199461,7.7578,216.5,279.5,TPMS,fischerKochS,network,2.0,0.4,,,,
TPMS|fischerKochS|network|c2|P0.40,44,0.3982,0.6018,0.307499,0.307499,3.627,0.196608,8.1446,203.3,272.7,TPMS,fischerKochS,network,2.0,0.4,,,,
TPMS|fischerKochS|network|c2|P0.60,16,0.6875,0.3125,0.0629,0.0629,10.996,0.419123,7.125,353.6,250.0,TPMS,fischerKochS,network,2.0,0.6,,,,
TPMS|fischerKochS|network|c2|P0.60,20,0.6,0.4,0.150498,0.150498,6.386,0.319056,7.74,282.8,282.8,TPMS,fischerKochS,network,2.0,0.6,,,,
TPMS|fischerKochS|network|c2|P0.60,24,0.6019,0.3981,0.141736,0.141736,7.24,0.335524,7.875,288.7,235.7,TPMS,fischerKochS,network,2.0,0.6,,,,
TPMS|fischerKochS|network|c2|P0.60,32,0.582,0.418,0.144682,0.144682,7.005,0.34657,7.7578,279.5,216.5,TPMS,fischerKochS,network,2.0,0.6,,,,
TPMS|fischerKochS|network|c2|P0.60,44,0.6018,0.3982,0.12843,0.12843,7.558,0.379391,8.1446,272.7,203.3,TPMS,fischerKochS,network,2.0,0.6,,,,
TPMS|fischerKochS|network|c2|P0.75,16,0.7812,0.2188,0.019073,0.019073,19.32,0.565828,5.7188,353.6,250.0,TPMS,fischerKochS,network,2.0,0.75,,,,
TPMS|fischerKochS|network|c2|P0.75,20,0.704,0.296,0.054619,0.054619,13.418,0.462206,6.96,346.4,200.0,TPMS,fischerKochS,network,2.0,0.75,,,,
